program,year,semester,name,code,credit,is_elective
Bachelor of Science in Environmental Engineering,1,2,Projects II Preliminary Design of a Low Cost Sanitation System,EE 122,8,false
Bachelor of Science in Environmental Engineering,1,2,Basic and Ecological Sanitation,MI 121,8,false
Bachelor of Science in Environmental Engineering,1,2,Engineering Drawing II,EE 162,12,false
Bachelor of Science in Environmental Engineering,1,2,Communication Skills,CS 102,8,false
Bachelor of Science in Environmental Engineering,1,2,Development Perspectives II,DS 102,8,false
Bachelor of Science in Environmental Engineering,1,2,Industrial Training I,MI 151,8,false
Bachelor of Science in Environmental Engineering,2,1,Engineering Mathematics II,IS 241,8,false
Bachelor of Science in Environmental Engineering,2,1,Engineering Mechanics II,EE 218,8,false
Bachelor of Science in Environmental Engineering,2,1,Building Services Engineering,EE 229,8,false
Bachelor of Science in Environmental Engineering,2,1,Water Resources and Transportation Engineering,EE 231,12,false
Bachelor of Science in Environmental Engineering,2,1,Project III Design of Water Supply and Wastewater Collection Systems for a building and community,EE 232,12,false
Bachelor of Science in Environmental Engineering,2,1,Hydrology,EE 233,8,false
Bachelor of Science in Environmental Engineering,2,1,Fluid Mechanics I,EE 238,8,false
Bachelor of Science in Environmental Engineering,2,1,Introduction to Land Surveying,GM 111,8,false
Bachelor of Science in Environmental Engineering,2,2,Engineering Mathematics III,IS 242,8,false
Bachelor of Science in Environmental Engineering,2,2,Foundation Engineering,EE 214,8,false
Bachelor of Science in Environmental Engineering,2,2,Sewerage and Drainage Engineering,EE 223,8,false
Bachelor of Science in Environmental Engineering,2,2,Project IV Design of Sewerage and Drainage Systems for a Township,EE 224,12,false
Bachelor of Science in Environmental Engineering,2,2,Fluid Mechanics II,EE 239,12,false
Bachelor of Science in Environmental Engineering,2,2,Industrial Training II,EE 252,8,false
Bachelor of Science in Environmental Engineering,2,2,Environmental Microbiology,EL 217,12,false
Bachelor of Science in Environmental Engineering,2,2,Introduction to Engineering Surveying,GM 221,8,false
Bachelor of Science in Environmental Engineering,3,1,Structural Analysis I,CE 212,8,false
Bachelor of Science in Environmental Engineering,3,1,Basics of Quantity Surveying,CQ 220,8,false
Bachelor of Science in Environmental Engineering,3,1,Unit Operations and Processes in Environmental Engineering,EE 325,12,false
Bachelor of Science in Environmental Engineering,3,1,Hydraulic Structures,EE 337,8,false
Bachelor of Science in Environmental Engineering,3,1,Environmental Health and Epidemiology,EE 343,8,false
Bachelor of Science in Environmental Engineering,3,1,Project V Assessment and Engineering Control of Communicable Diseases,EE 344,8,false
Bachelor of Science in Environmental Engineering,3,1,Environmental Chemistry,MI 329,12,false
Bachelor of Science in Environmental Engineering,3,1,Thermofluids,EE 363,8,true
Bachelor of Science in Environmental Engineering,3,1,Disaster Risk Management,ES 483,8,true
Bachelor of Science in Environmental Engineering,3,1,Occupational Health and Safety,MI 234,8,true
Bachelor of Science in Environmental Engineering,3,1,Industrial Wastewater Treatment,MI 446,8,true
Bachelor of Science in Environmental Engineering,3,2,Structural Analysis II,CE 312,8,false
Bachelor of Science in Environmental Engineering,3,2,Water Treatment Engineering,EE 334,8,false
Bachelor of Science in Environmental Engineering,3,2,Project VI Design of Water Treatment and Municipal Solid Waste Management Systems for Community/Township,EE 335,12,false
Bachelor of Science in Environmental Engineering,3,2,Pumps and Pumping Stations,EE 336,8,false
Bachelor of Science in Environmental Engineering,3,2,Ecology,EE 347,8,false
Bachelor of Science in Environmental Engineering,3,2,Industrial training III,EE 353,8,false
Bachelor of Science in Environmental Engineering,3,2,Solid Waste Infrastructure Design and Management,MI 362,12,false
Bachelor of Science in Environmental Engineering,3,2,Land and Water Pollution Prevention and Control,EE 366,8,false
Bachelor of Science in Environmental Engineering,3,2,Project Management for Construction,EE 369,8,false
Bachelor of Science in Environmental Engineering,4,1,Entrepreneurship,BB 313,8,false
Bachelor of Science in Environmental Engineering,4,1,Wastewater Treatment Technology,MI 429,8,false
Bachelor of Science in Environmental Engineering,4,1,Environmental Systems Analysis,EE 465,8,false
Bachelor of Science in Environmental Engineering,4,1,Environmental Policies and Legislation,EE 467,8,false
Bachelor of Science in Environmental Engineering,4,1,Environmental Planning and Impact Assessment,ES 468,8,false
Bachelor of Science in Environmental Engineering,4,1,Research Methodology,LM 238,8,false
Bachelor of Science in Environmental Engineering,4,1,Project VII Design of Domestic and Industrial Wastewater Treatment facilities,MI 447,12,false
Bachelor of Science in Environmental Engineering,4,2,Dissertation,EE 456,60,false
Bachelor of Science in Civil Engineering,1,1,English Language,CS 101,8,false
Bachelor of Science in Civil Engineering,1,1,Development Perspectives I,DS 101,8,false
Bachelor of Science in Civil Engineering,1,1,Introduction to Land Surveying,GM 111,8,false
Bachelor of Science in Civil Engineering,1,1,Engineering Mathematics I,IS 143,8,false
Bachelor of Science in Civil Engineering,1,1,Engineering Drawing,CE 101,8,false
Bachelor of Science in Civil Engineering,1,1,Statics,CE 111,8,false
Bachelor of Science in Civil Engineering,1,1,Basics of Building Construction,CE 161,7,false
Bachelor of Science in Civil Engineering,1,1,Workshop Training,EG 100,8,false
Bachelor of Science in Civil Engineering,1,2,Communication Skills,CS 102,8,false
Bachelor of Science in Civil Engineering,1,2,Development Perspectives II,DS 102,8,false
Bachelor of Science in Civil Engineering,1,2,Introduction to Engineering Surveying,GM 221,8,false
Bachelor of Science in Civil Engineering,1,2,Computer Programming,IS 121,12,false
Bachelor of Science in Civil Engineering,1,2,Dynamics of Solids,CE 112,8,false
Bachelor of Science in Civil Engineering,1,2,Building Design,CE 162,8,false
Bachelor of Science in Civil Engineering,1,2,Construction Materials I,CE 171,12,false
Bachelor of Science in Civil Engineering,1,2,Industrial Training,CE 183,8,false
Bachelor of Science in Civil Engineering,2,1,Structural Analysis I,CE 221,12,false
Bachelor of Science in Civil Engineering,2,1,Engineering Mathematics II,IS 241,8,false
Bachelor of Science in Civil Engineering,2,1,Civil Engineering Drawing,CE 201,12,false
Bachelor of Science in Civil Engineering,2,1,Mechanics of Materials,CE 213,8,false
Bachelor of Science in Civil Engineering,2,1,Fluid Mechanics,CE 242,8,false
Bachelor of Science in Civil Engineering,2,1,Open Channel Hydraulics,CE 241,8,false
Bachelor of Science in Civil Engineering,2,1,Construction Materials II,CE 271,12,false
Bachelor of Science in Civil Engineering,2,2,Soil Mechanics and Geology,EE 115,8,false
Bachelor of Science in Civil Engineering,2,2,Engineering Mathematics III,IS 242,8,false
Bachelor of Science in Civil Engineering,2,2,Pumps and Pumping stations,EE 236,8,false
Bachelor of Science in Civil Engineering,2,2,Fundamentals of Hydrology,CE 233,8,false
Bachelor of Science in Civil Engineering,2,2,Traffic Engineering and Planning,CE 231,8,false
Bachelor of Science in Civil Engineering,2,2,Highway Geometric Design,CE 232,8,false
Bachelor of Science in Civil Engineering,2,2,Semester Project I,CE 282,12,false
Bachelor of Science in Civil Engineering,2,2,Industrial Training,CE 283,8,false
Bachelor of Science in Civil Engineering,3,1,Water Resources and Transportation Engineering,EE 231,12,false
Bachelor of Science in Civil Engineering,3,1,Hydraulic Structures,EE 337,8,false
Bachelor of Science in Civil Engineering,3,1,Structural Analysis II,CE 321,12,false
Bachelor of Science in Civil Engineering,3,1,Design of Timber Structures,CE 322,8,false
Bachelor of Science in Civil Engineering,3,1,Design of Steel Structures,CE 323,8,false
Bachelor of Science in Civil Engineering,3,1,Waste water Treatment Technology,EE 427,12,false
Bachelor of Science in Civil Engineering,3,1,Semester Project II,CE 381,12,false
Bachelor of Science in Civil Engineering,3,2,Statistics and Probability,IS 141,8,false
Bachelor of Science in Civil Engineering,3,2,Design of Reinforced Concrete Structures I,CE 324,12,false
Bachelor of Science in Civil Engineering,3,2,Design of Masonry Structures,CE 325,8,false
Bachelor of Science in Civil Engineering,3,2,Foundation Engineering,CE 351,8,false
Bachelor of Science in Civil Engineering,3,2,Construction Project Management,CE 363,10,false
Bachelor of Science in Civil Engineering,3,2,Pavement Materials and Design,CE 334,8,false
Bachelor of Science in Civil Engineering,3,2,Semester Project III,CE 382,12,false
Bachelor of Science in Civil Engineering,3,2,Industrial Training III,CE 383,8,false
Bachelor of Science in Civil Engineering,3,2,Structural Analysis III,CE 421,8,true
Bachelor of Science in Civil Engineering,3,2,Structural Dynamics,CE 426,8,true
Bachelor of Science in Civil Engineering,3,2,Design of Bridges,CE 427,8,true
Bachelor of Science in Civil Engineering,4,1,Entrepreneurship,BB 313,8,false
Bachelor of Science in Civil Engineering,4,1,Civil Engineering Procedures,CE 467,8,false
Bachelor of Science in Civil Engineering,4,1,Construction Technology,CE 464,8,false
Bachelor of Science in Civil Engineering,4,1,Construction Maintenance,CE 465,8,false
Bachelor of Science in Civil Engineering,4,1,Professional Practice,CE 466,4,false
Bachelor of Science in Civil Engineering,4,1,Research Methodology,LM 238,8,false
Bachelor of Science in Civil Engineering,4,1,Design of Reinforced Concrete Structures II,CE 424,12,false
Bachelor of Science in Civil Engineering,4,1,Semester Project IV,CE 481,12,false
Bachelor of Science in Civil Engineering,4,1,Solid Waste Infrastructure Design and Management,EE 352,12,true
Bachelor of Science in Civil Engineering,4,1,Pavement Maintenance and Rehabilitation,CE 433,8,true
Bachelor of Science in Civil Engineering,4,1,Labour Based Road Engineering,CE 435,8,true
Bachelor of Science in Civil Engineering,4,1,Airport Harbour and Railway Engineering,CE 436,8,true
Bachelor of Science in Civil Engineering,4,1,Transportation Economics,CE 437,8,true
Bachelor of Science in Civil Engineering,4,1,Introduction to Disaster Risk Management,DM 101,8,true
Bachelor of Science in Civil Engineering,4,2,Dissertation,CE 484,60,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,1,English Language,CS 101,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,1,Development Perspectives I,DS 101,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,1,Engineering Mathematics I,IS 143,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,1,Project I Introduction to Technical Report Writing,EE 143,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,1,Engineering Drawing I,EE 161,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,1,Workshop Training,EG 100,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,1,Basic Chemistry,ES 112,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,1,Introduction to Information and Communication Technology (ICT),IS 161,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,2,Communication Skills,CS 102,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,2,Development Perspectives II,DS 102,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,2,Soil Mechanics and Geology,EE 115,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,2,Construction Materials and Technology,EE 116,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,2,Engineering Mechanics I,EE 117,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,2,Introduction to Environmental Engineering,EE 121,12,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,2,Project II Preliminary Design of a Low Cost Sanitation System,EE 122,12,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,2,Industrial training I,EE 151,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,1,2,Engineering Drawing II,EE 162,12,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,1,Traffic Engineering and Simulation,MI 218,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,1,Engineering Mathematics II,IS 241,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,1,Engineering Mechanics II,EE 218,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,1,Building Services Engineering,EE 229,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,1,Water Resources and Transportation Engineering,EE 231,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,1,Project III Designs of Water Supply and Wastewater Collection Systems,EE 232,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,1,Hydrology,EE 233,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,1,Fluid Mechanics I,EE 238,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,1,Introduction to Land Surveying,GM 111,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,2,Sewerage Engineering and Faecal Sludge Management,MI 214,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,2,Urban Storm Water Management,MI 215,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,2,Occupational Healths and Safety,MI 234,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,2,Foundation Engineering,EE 214,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,2,Project IV Design of Sewerage Stormwater and Faecal sludge systems,MI 217,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,2,Fluid Mechanics II,EE 239,12,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,2,Environmental Microbiology,EL 217,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,2,Introduction to Engineering Surveying,GM 221,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,2,2,Industrial Training II,MI 252,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,1,Municipal Infrastructures and Governance,MI 319,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,1,Renewable and Alternative Energy,MI 323,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,1,Mining, Petroleum and Gas Processing Waste Management,MI 331,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,1,Industrial Utility and Safety Services Engineering,MI 341,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,1,Industrial Ecology,MI 342,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,1,Project V Occupational Health and Safety Systems,MI 343,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,1,Structural Analysis I,CE 212,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,1,Introduction to Quantity Surveying,CQ 220,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,1,Environmental Chemistry,MI 329,8,true
Bachelor of Science in Municipal and Industrial Services Engineering,3,1,Disaster Risk Management,ES 483,8,true
Bachelor of Science in Municipal and Industrial Services Engineering,3,1,Hydraulic Structures,EE 337,8,true
Bachelor of Science in Municipal and Industrial Services Engineering,3,2,Urban Infrastructure Planning and Management,MI 313,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,2,RS and GIS Applications in Municipal and Industrial Services Engineering,MI 322,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,2,Solid Waste Infrastructure Design and Management,MI 326,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,2,Managing water supply and sanitation in emergencies,MI 328,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,2,Regulatory and Legal Frameworks on Establishment and Operation of Municipal Infrastructure,MI 310,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,2,Project VI Design of Water Treatment and Municipal Solid Waste Management Systems,MI 335,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,2,Fundamentals of Industrial Operations and Processes,MI 344,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,2,Land and Water Pollution Prevention and Control,EE 366,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,2,Water Treatment Engineering,EE 334,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,3,2,Industrial Training III,MI 353,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,4,1,Municipal Wastewater Treatment Technology,MI 429,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,4,1,Risk Assessment and Management of Mining Mineral Processing and Petroleum Operation/waste management,MI 432,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,4,1,Industrial Wastewater Treatment,MI 446,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,4,1,Project VII Design of Municipal and Industrial Wastewater Treatment Facilities,MI 447,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,4,1,Research Methodology for Scientist,ES 491,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,4,1,Air Pollution Prevention and Control,EE 467,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,4,1,Entrepreneurship,BB 313,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,4,1,Environmental Planning and Impact Assessment,ES 468,8,false
Bachelor of Science in Municipal and Industrial Services Engineering,4,2,Dissertation,MI 454,60,false
Bachelor of Science in Environmental Science and Management,1,1,Mathematics I,IS 144,8,false
Bachelor of Science in Environmental Science and Management,1,1,Basic Chemistry,ES 111,8,false
Bachelor of Science in Environmental Science and Management,1,1,Fundamentals of Biology,ES 112,8,false
Bachelor of Science in Environmental Science and Management,1,1,Principles of Physics,ES 113,8,false
Bachelor of Science in Environmental Science and Management,1,1,Introductions to ICT,IS 161,8,false
Bachelor of Science in Environmental Science and Management,1,1,English Language,CS 101,8,false
Bachelor of Science in Environmental Science and Management,1,1,Development Perspectives I,DS 101,8,false
Bachelor of Science in Environmental Science and Management,1,1,Introduction to land surveying,GM 111,8,false
Bachelor of Science in Environmental Science and Management,1,1,Project I Introduction to Technical Report Writing,EE 143,8,false
Bachelor of Science in Environmental Science and Management,1,2,Statistics and Probability,IS 141,8,false
Bachelor of Science in Environmental Science and Management,1,2,Mathematics II,IS 145,8,false
Bachelor of Science in Environmental Science and Management,1,2,Introduction to Environmental Science,ES 121,8,false
Bachelor of Science in Environmental Science and Management,1,2,Environmental Geology,ES 122,8,false
Bachelor of Science in Environmental Science and Management,1,2,Environmental Pollution Sources Survey,ES 123,8,false
Bachelor of Science in Environmental Science and Management,1,2,Communication Skills,CS 102,8,false
Bachelor of Science in Environmental Science and Management,1,2,Development Perspectives II,DS 102,8,false
Bachelor of Science in Environmental Science and Management,1,2,Industrial Training I,ES 151,8,false
Bachelor of Science in Environmental Science and Management,2,1,Instrumental Methods of Analysis,ES 214,12,false
Bachelor of Science in Environmental Science and Management,2,1,Environmental Ecology,ES 224,8,false
Bachelor of Science in Environmental Science and Management,2,1,Project III Assessment of Low Cost Sanitation Systems,ES 226,8,false
Bachelor of Science in Environmental Science and Management,2,1,Water Supply and Sanitation,ES 231,12,false
Bachelor of Science in Environmental Science and Management,2,1,Remote Sensing and Environment,ES 232,8,false
Bachelor of Science in Environmental Science and Management,2,1,Geographical Information Systems,ES 233,8,false
Bachelor of Science in Environmental Science and Management,2,1,Principles of Economics,ES 261,8,false
Bachelor of Science in Environmental Science and Management,2,1,Hydrology,EE 233,8,false
Bachelor of Science in Environmental Science and Management,2,2,Environmental Chemodynamics,ES 225,12,false
Bachelor of Science in Environmental Science and Management,2,2,Scientific Experimental Design,ES 234,8,false
Bachelor of Science in Environmental Science and Management,2,2,Toxicology and Risk Management,ES 242,12,false
Bachelor of Science in Environmental Science and Management,2,2,Project IV Occupational Health and Safety,ES 243,8,false
Bachelor of Science in Environmental Science and Management,2,2,Meteorology,ES 281,8,false
Bachelor of Science in Environmental Science and Management,2,2,Occupational Health and Safety,MI 234,8,false
Bachelor of Science in Environmental Science and Management,2,2,Environmental Microbiology,EL 217,12,false
Bachelor of Science in Environmental Science and Management,2,2,Industrial Training II,ES 252,8,false
Bachelor of Science in Environmental Science and Management,3,1,Industrial and Municipal Wastewater Management,ES 335,8,false
Bachelor of Science in Environmental Science and Management,3,1,Soil Pollution and Remediation,ES 336,8,false
Bachelor of Science in Environmental Science and Management,3,1,Project VI Contaminated Site Remediation,ES 338,8,false
Bachelor of Science in Environmental Science and Management,3,1,Environmental Economics and Management,ES 362,8,false
Bachelor of Science in Environmental Science and Management,3,1,Surface water hydrometry and quality monitoring,ES 363,8,false
Bachelor of Science in Environmental Science and Management,3,1,Mining and Environment,ES 372,8,false
Bachelor of Science in Environmental Science and Management,3,1,Environmental Chemistry,MI 329,12,false
Bachelor of Science in Environmental Science and Management,3,1,Environmental Compliance and Management,EL 215,8,false
Bachelor of Science in Environmental Science and Management,3,1,Environmental Health and Epidemiology,EE 343,8,false
Bachelor of Science in Environmental Science and Management,3,1,Renewable and Alternative Energy,MI 323,8,true
Bachelor of Science in Environmental Science and Management,3,1,Environmental Systems Analysis,EE 455,8,true
Bachelor of Science in Environmental Science and Management,3,2,Principles and Application of Biotechnology,ES 337,8,false
Bachelor of Science in Environmental Science and Management,3,2,Project V Waste Management,ES 364,8,false
Bachelor of Science in Environmental Science and Management,3,2,Air Quality Monitoring and Management,ES 365,8,false
Bachelor of Science in Environmental Science and Management,3,2,Groundwater Quality Monitoring and Management,ES 366,8,false
Bachelor of Science in Environmental Science and Management,3,2,Introduction to Natural Resources Conservation and Management,ES 371,8,false
Bachelor of Science in Environmental Science and Management,3,2,Soil Conservation and Management,ES 373,8,false
Bachelor of Science in Environmental Science and Management,3,2,Solid Waste Management and Technology,EE 362,12,false
Bachelor of Science in Environmental Science and Management,3,2,Industrial Training III,ES 351,8,false
Bachelor of Science in Environmental Science and Management,4,1,Hazardous Waste Management,ES 444,8,false
Bachelor of Science in Environmental Science and Management,4,1,Environmental Policies and Legislation,ES 467,8,false
Bachelor of Science in Environmental Science and Management,4,1,Environmental Planning and Impact Assessment,ES 468,8,false
Bachelor of Science in Environmental Science and Management,4,1,Agro-industrial waste Management,ES 469,8,false
Bachelor of Science in Environmental Science and Management,4,1,Environmental Management in Oil and Gas Industry,ES 474,8,false
